Type,Crew Type,Premission,Postmission,A,B
Mission,t10,10-Jan-32,15-Jan-32,False,False
Local,t11,12-Jan-32,13-Jan-32,False,False
AD Local,t12,12-Jan-32,14-Jan-32,True,True
Mission,t10,12-Jan-32,18-Jan-32,False,False
SOLL Alert,t13,15-Jan-32,25-Jan-32,False,False
Mission,t10,17-Jan-32,26-Jan-32,False,False
Local,t11,18-Jan-32,19-Jan-32,False,True
SOLL Local,t13,18-Jan-32,20-Jan-32,True,True
AD Local,t12,19-Jan-32,21-Jan-32,True,False
Local,t11,19-Jan-32,20-Jan-32,False,False
Mission,t10,20-Jan-32,29-Jan-32,False,False
SOLL Local,t13,20-Jan-32,22-Jan-32,True,True
AD Local,t12,20-Jan-32,21-Jan-32,False,False
Local,t11,21-Jan-32,22-Jan-32,False,False
Mission,t10,22-Jan-32,08-Feb-32,False,False
Local,t11,22-Jan-32,23-Jan-32,False,False
J1 Alert,t14,22-Jan-32,30-Jan-32,False,False
AD Mission,t15,24-Jan-32,28-Jan-32,False,False
AD Local,t12,25-Jan-32,26-Jan-32,False,False
AD Mission,t15,25-Jan-32,30-Jan-32,False,False
Mission,t10,25-Jan-32,31-Jan-32,False,False
SOLL Local,t13,25-Jan-32,27-Jan-32,True,True
SOLL Local,t13,27-Jan-32,29-Jan-32,True,True
Local,t11,27-Jan-32,28-Jan-32,False,False
AD Local,t12,27-Jan-32,29-Jan-32,True,False
Local,t11,27-Jan-32,29-Jan-32,True,True
Local,t11,27-Jan-32,28-Jan-32,False,True
Local,t11,28-Jan-32,29-Jan-32,False,False
Mission,t10,28-Jan-32,02-Feb-32,False,False
SOLL Alert,t13,29-Jan-32,08-Feb-32,False,False
Mission,t10,30-Jan-32,08-Feb-32,False,False
Mission,t10,01-Feb-32,06-Feb-32,False,False
AD Local,t12,01-Feb-32,02-Feb-32,False,False
Local,t11,02-Feb-32,03-Feb-32,False,True
AD Local,t12,03-Feb-32,05-Feb-32,True,False
SOLL Local,t13,03-Feb-32,05-Feb-32,True,False
Mission,t10,03-Feb-32,07-Feb-32,False,False
AD Local,t12,03-Feb-32,05-Feb-32,True,True
