Type,Date
t1,12-Jan-32
t2,12-Jan-32
t3,12-Jan-32
t4,12-Jan-32
t5,12-Jan-32
t1,13-Jan-32
t1,13-Jan-32
t6,13-Jan-32
t4,13-Jan-32
t7,13-Jan-32
t6,14-Jan-32
t8,14-Jan-32
t4,14-Jan-32
t5,14-Jan-32
t1,19-Jan-32
t3,19-Jan-32
t4,19-Jan-32
t5,19-Jan-32
t5,19-Jan-32
t1,20-Jan-32
t1,20-Jan-32
t6,20-Jan-32
t5,20-Jan-32
t5,20-Jan-32
t6,21-Jan-32
t8,21-Jan-32
t5,21-Jan-32
t7,21-Jan-32
t1,22-Jan-32
t1,22-Jan-32
t3,22-Jan-32
t3,22-Jan-32
t5,22-Jan-32
t6,23-Jan-32
t8,23-Jan-32
t3,23-Jan-32
t4,23-Jan-32
t5,23-Jan-32
t1,26-Jan-32
t4,26-Jan-32
t5,26-Jan-32
t5,26-Jan-32
t7,26-Jan-32
t1,27-Jan-32
t6,27-Jan-32
t5,27-Jan-32
t1,28-Jan-32
t8,28-Jan-32
t3,28-Jan-32
t4,28-Jan-32
t5,28-Jan-32
t1,29-Jan-32
t1,29-Jan-32
t8,29-Jan-32
t6,30-Jan-32
t8,30-Jan-32
t3,30-Jan-32
t4,30-Jan-32
t5,30-Jan-32
t1,02-Feb-32
t4,02-Feb-32
t5,02-Feb-32
t1,03-Feb-32
t1,03-Feb-32
t8,03-Feb-32
t7,03-Feb-32
t1,04-Feb-32
t6,04-Feb-32
t8,04-Feb-32
t5,04-Feb-32
t1,05-Feb-32
t8,05-Feb-32
t5,05-Feb-32
t8,06-Feb-32
t3,06-Feb-32
t5,06-Feb-32
t9,06-Feb-32
t1,09-Feb-32
t1,09-Feb-32
t3,09-Feb-32
t4,09-Feb-32
t7,09-Feb-32
t1,10-Feb-32
t8,10-Feb-32
t8,10-Feb-32
t3,10-Feb-32
t5,10-Feb-32
t6,11-Feb-32
t3,11-Feb-32
t4,11-Feb-32
t4,11-Feb-32
t5,11-Feb-32
t1,12-Feb-32
t1,12-Feb-32
t6,13-Feb-32
t8,13-Feb-32
t2,13-Feb-32
t5,13-Feb-32
t7,13-Feb-32
t1,16-Feb-32
t3,16-Feb-32
t4,16-Feb-32
t5,16-Feb-32
t5,16-Feb-32
t8,17-Feb-32
t3,17-Feb-32
t4,17-Feb-32
t3,18-Feb-32
t4,18-Feb-32
t5,18-Feb-32
t1,19-Feb-32
t4,19-Feb-32
t5,19-Feb-32
t8,20-Feb-32
t3,20-Feb-32
t2,20-Feb-32
t4,20-Feb-32
t5,20-Feb-32
t3,23-Feb-32
t4,23-Feb-32
t5,23-Feb-32
t7,23-Feb-32
t1,24-Feb-32
t1,24-Feb-32
t4,24-Feb-32
t5,24-Feb-32
t6,25-Feb-32
t8,25-Feb-32
t3,25-Feb-32
t2,25-Feb-32
t4,25-Feb-32
t1,26-Feb-32
t6,27-Feb-32
t4,27-Feb-32
t7,27-Feb-32
t9,27-Feb-32
t1,01-Mar-32
t3,01-Mar-32
t4,01-Mar-32
t5,01-Mar-32
t1,02-Mar-32
t1,02-Mar-32
t6,02-Mar-32
t5,02-Mar-32
t1,03-Mar-32
t6,03-Mar-32
t8,03-Mar-32
t1,04-Mar-32
t1,04-Mar-32
t1,04-Mar-32
t8,04-Mar-32
t7,04-Mar-32
t6,05-Mar-32
t8,05-Mar-32
t8,05-Mar-32
t4,05-Mar-32
t1,08-Mar-32
t1,08-Mar-32
t3,08-Mar-32
t4,08-Mar-32
t5,08-Mar-32
t1,09-Mar-32
t1,09-Mar-32
t6,09-Mar-32
t8,09-Mar-32
t3,09-Mar-32
t1,10-Mar-32
t1,10-Mar-32
t6,10-Mar-32
t8,10-Mar-32
t6,11-Mar-32
t8,11-Mar-32
t3,11-Mar-32
t4,11-Mar-32
t5,11-Mar-32
t1,16-Mar-32
t1,16-Mar-32
t3,16-Mar-32
t4,16-Mar-32
t5,16-Mar-32
t6,17-Mar-32
t8,17-Mar-32
t2,17-Mar-32
t1,18-Mar-32
t1,18-Mar-32
t3,18-Mar-32
t6,19-Mar-32
t8,19-Mar-32
t3,19-Mar-32
t4,19-Mar-32
t5,19-Mar-32
t3,22-Mar-32
t2,22-Mar-32
t4,22-Mar-32
t5,22-Mar-32
t3,23-Mar-32
t2,23-Mar-32
t4,23-Mar-32
t5,23-Mar-32
t1,24-Mar-32
t3,24-Mar-32
t5,24-Mar-32
t7,24-Mar-32
t1,25-Mar-32
t6,25-Mar-32
t5,25-Mar-32
t6,26-Mar-32
t4,26-Mar-32
t9,26-Mar-32
t1,29-Mar-32
t1,29-Mar-32
t3,29-Mar-32
t2,29-Mar-32
t5,29-Mar-32
t1,30-Mar-32
t6,30-Mar-32
t8,30-Mar-32
t3,30-Mar-32
t7,30-Mar-32
t1,31-Mar-32
t8,31-Mar-32
t4,31-Mar-32
t1,01-Apr-32
t1,01-Apr-32
t8,01-Apr-32
t4,01-Apr-32
t6,02-Apr-32
t8,02-Apr-32
t3,02-Apr-32
t7,02-Apr-32
t8,05-Apr-32
t3,05-Apr-32
t4,05-Apr-32
t4,05-Apr-32
t1,06-Apr-32
t1,06-Apr-32
t8,06-Apr-32
t3,06-Apr-32
t1,07-Apr-32
t6,07-Apr-32
t8,07-Apr-32
t4,07-Apr-32
t1,08-Apr-32
t1,08-Apr-32
t8,08-Apr-32
t4,08-Apr-32
t7,08-Apr-32
t6,09-Apr-32
t8,09-Apr-32
t5,09-Apr-32
t1,13-Apr-32
t1,13-Apr-32
t1,13-Apr-32
t4,13-Apr-32
t5,13-Apr-32
t1,14-Apr-32
t6,14-Apr-32
t6,14-Apr-32
t8,14-Apr-32
t1,15-Apr-32
t8,15-Apr-32
t3,15-Apr-32
t3,15-Apr-32
t4,15-Apr-32
t6,16-Apr-32
t4,16-Apr-32
t5,16-Apr-32
t9,16-Apr-32
t1,19-Apr-32
t3,19-Apr-32
t4,19-Apr-32
t4,19-Apr-32
t5,19-Apr-32
t1,20-Apr-32
t1,20-Apr-32
t8,20-Apr-32
t4,20-Apr-32
t5,20-Apr-32
t1,21-Apr-32
t6,21-Apr-32
t8,21-Apr-32
t4,21-Apr-32
t1,22-Apr-32
t6,22-Apr-32
t3,22-Apr-32
t4,22-Apr-32
t5,22-Apr-32
t6,23-Apr-32
t3,23-Apr-32
t4,23-Apr-32
t5,23-Apr-32
t1,27-Apr-32
t1,27-Apr-32
t3,27-Apr-32
t5,27-Apr-32
t6,28-Apr-32
t8,28-Apr-32
t3,28-Apr-32
t5,28-Apr-32
t1,29-Apr-32
t1,29-Apr-32
t3,29-Apr-32
t5,29-Apr-32
t5,29-Apr-32
t6,30-Apr-32
t8,30-Apr-32
t1,03-May-32
t1,03-May-32
t2,03-May-32
t4,03-May-32
t5,03-May-32
t1,04-May-32
t1,04-May-32
t6,04-May-32
t8,04-May-32
t1,05-May-32
t6,05-May-32
t8,05-May-32
t5,05-May-32
t7,05-May-32
t1,06-May-32
t1,06-May-32
t8,06-May-32
t3,06-May-32
t3,06-May-32
t6,07-May-32
t8,07-May-32
t4,07-May-32
t5,07-May-32
t5,07-May-32
t1,10-May-32
t1,10-May-32
t3,10-May-32
t4,10-May-32
t5,10-May-32
t1,11-May-32
t6,11-May-32
t8,11-May-32
t7,11-May-32
t1,12-May-32
t8,12-May-32
t4,12-May-32
t5,12-May-32
t8,13-May-32
t2,13-May-32
t4,13-May-32
t5,13-May-32
t3,14-May-32
t4,14-May-32
t5,14-May-32
t7,14-May-32
t9,14-May-32
t1,17-May-32
t1,17-May-32
t4,17-May-32
t5,17-May-32
t1,18-May-32
t8,18-May-32
t8,18-May-32
t4,18-May-32
t1,19-May-32
t8,19-May-32
t3,19-May-32
t4,19-May-32
t5,19-May-32
t1,20-May-32
t1,20-May-32
t8,20-May-32
t3,20-May-32
t7,20-May-32
t6,21-May-32
t8,21-May-32
t3,21-May-32
t4,21-May-32
t5,21-May-32
t3,25-May-32
t2,25-May-32
t4,25-May-32
t5,25-May-32
t5,25-May-32
t1,26-May-32
t1,26-May-32
t3,26-May-32
t1,27-May-32
t1,27-May-32
t6,27-May-32
t8,27-May-32
t6,28-May-32
t8,28-May-32
t3,28-May-32
t1,31-May-32
t1,31-May-32
t2,31-May-32
t4,31-May-32
t5,31-May-32
t1,01-Jun-32
t6,01-Jun-32
t8,01-Jun-32
t1,02-Jun-32
t6,02-Jun-32
t3,02-Jun-32
t4,02-Jun-32
t5,02-Jun-32
t6,03-Jun-32
t5,03-Jun-32
t4,04-Jun-32
t4,04-Jun-32
t5,04-Jun-32
t1,07-Jun-32
t1,07-Jun-32
t3,07-Jun-32
t4,07-Jun-32
t8,08-Jun-32
t8,08-Jun-32
t3,09-Jun-32
t4,09-Jun-32
t5,09-Jun-32
t1,14-Jun-32
t1,14-Jun-32
t3,14-Jun-32
t4,14-Jun-32
t5,14-Jun-32
t6,15-Jun-32
t8,15-Jun-32
t4,15-Jun-32
t5,15-Jun-32
t1,16-Jun-32
t5,16-Jun-32
t5,16-Jun-32
t1,17-Jun-32
t6,17-Jun-32
t3,17-Jun-32
t4,17-Jun-32
t5,17-Jun-32
t8,18-Jun-32
t3,18-Jun-32
t4,18-Jun-32
t5,18-Jun-32
t9,18-Jun-32
t1,21-Jun-32
t4,21-Jun-32
t5,21-Jun-32
t5,21-Jun-32
t8,22-Jun-32
t3,22-Jun-32
t4,22-Jun-32
t5,22-Jun-32
t1,23-Jun-32
t1,23-Jun-32
t3,23-Jun-32
t5,23-Jun-32
t5,23-Jun-32
t1,24-Jun-32
t6,24-Jun-32
t8,24-Jun-32
t4,24-Jun-32
t6,25-Jun-32
t3,25-Jun-32
t2,25-Jun-32
t4,25-Jun-32
t1,28-Jun-32
t1,28-Jun-32
t5,28-Jun-32
t7,28-Jun-32
t1,29-Jun-32
t1,29-Jun-32
t6,29-Jun-32
t8,29-Jun-32
t3,29-Jun-32
t1,30-Jun-32
t1,30-Jun-32
t6,30-Jun-32
t8,30-Jun-32
t3,30-Jun-32
t5,30-Jun-32
t1,01-Jul-32
t6,01-Jul-32
t8,01-Jul-32
t3,01-Jul-32
t4,01-Jul-32
t8,02-Jul-32
t3,02-Jul-32
t4,02-Jul-32
t7,02-Jul-32
t2,05-Jul-32
t5,05-Jul-32
t4,12-Jul-32
