Qual,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15
q8,2,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0
q20,2,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0
q21,2,2,0,2,4,1,0,0,1,0,0,0,0,0,0,0
q27,2,2,0,2,4,1,0,0,1,1,0,0,0,0,0,0
q7,2,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0
q19,2,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0
q3,2,2,0,2,4,1,0,0,1,0,0,0,0,0,0,0
q28,2,2,0,2,4,1,0,0,1,1,0,0,0,0,0,0
q18,2,2,0,2,4,1,0,0,1,0,6,3,1,2,1,0
q17,2,2,0,2,4,1,0,0,1,1,6,3,1,2,1,0
q4,2,2,2,0,0,1,0,0,0,0,6,3,1,2,1,0
q25,2,2,0,2,2,1,0,0,1,0,6,3,1,2,1,0
q29,2,2,0,2,2,1,0,0,1,0,6,3,1,2,1,0
q26,2,2,0,2,2,1,0,0,1,1,6,3,1,2,1,0
q14,2,2,0,2,0,1,0,0,1,1,6,3,1,2,1,0
q30,2,2,0,2,0,1,0,0,1,1,6,3,1,2,1,0
q9,2,2,0,2,0,1,0,0,0,0,6,3,1,2,1,0
q16,1,2,2,0,0,1,0,0,0,0,4,2,1,2,0,1
q31,2,2,0,2,2,1,0,0,1,0,4,2,1,2,0,1
q6,1,2,0,2,0,1,0,0,1,0,4,2,1,2,0,1
q13,1,2,0,2,0,1,0,0,1,0,4,2,1,2,0,1
q11,1,2,0,2,0,1,0,0,1,1,4,2,1,2,0,1
q2,1,2,0,2,0,1,0,0,1,1,4,2,1,2,0,1
q23,1,2,0,2,0,1,0,0,1,1,4,2,1,2,0,1
q12,1,2,2,0,0,1,0,0,0,0,3,1,1,2,0,1
q5,1,2,0,2,0,1,0,0,1,0,3,1,1,2,0,1
q24,1,2,0,2,0,1,0,0,1,1,3,1,1,2,0,1
q22,1,2,0,2,0,1,0,0,1,1,3,1,1,2,0,1
q1,1,2,2,0,0,1,0,0,0,0,3,1,1,2,0,1
q15,1,2,0,2,0,1,0,0,1,0,3,1,1,2,0,1
q10,1,2,0,2,0,1,0,0,1,1,3,1,1,2,0,1
